TITLE,NODE ID,impact_areas
Garden Food,636,"food,Environment"
Leadership Intern Field Training,357,"Public Health,Social Justice,Neighbors working together,Environment"
Composting Toilets,292,"Public Health,Environment"
POP blog,5545,"Public Art,Social Justice"
StartUp Box: #SouthBronx,15879,"Social Justice,Neighbors working together,Environment"
Eco Ryders,5552,"Social Justice,Environment"
The Federico Garcia Lorca Murals,7931,"Public Art,Placemaking,Social Justice,Neighbors working together"
Discover NYC Pop-Up Caf’©s,1733,"Public Health,Placemaking,Social Justice,Environment"
Bikesplorations: Teens Taking the Lane,3033,"Safer streets,Social Justice"
Help Green City Force get wheels!,5662,"Social Justice,Environment"
Congress Street Crosswalk,18069,"Safer streets,TU,Environment"
"""Hurricane Sandy Bicycle Relief and Repair""",7499,"food,Safer streets,Public Health,Social Justice,Neighbors working together"
Help Increase Joy & Learning Through Farm-Based Education at Wingate Campus Schools,#N/A,"food,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Herbman Medicinal Healing Garden,17225,"Public Health,Placemaking,Environment"
Brooklyn Park Glass,612,"Public Art,Environment"
NEW Farm + FREE food in Brooklyn!,1279,"food,Public Health,Social Justice,Neighbors working together,Environment"
Myrtle Village Green,2365,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Feedback Farms at MVG,3225,"food,Public Health,Placemaking,Social Justice,Environment"
PS 20 Farms Expansion!,7795,"food,Public Health,Social Justice,Schools"
Myrtle Village Green Water Supply,13044,"food,Public Health,Neighbors working together,Environment"
LetŠ—Ès Make the 5th Grade Classroom Unboring!,#N/A,"Schools,Environment"
Bushwick Library Community Garden,614,"food,Placemaking,Social Justice,Neighbors working together,Environment"
FREE eggs on the Free Range in Brooklyn!,1287,"food,Public Health,Social Justice,Neighbors working together,Environment"
Cornerstone Garden,1958,"food,Environment"
Recyclers' Urban Farm Rainwater Harvesting,3573,"food,Social Justice,Environment"
Evergreen Lots' EL Garden,12475,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Pollos del Pueblo,1961,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Broken Beehive Needs Repair,611,"food,Environment"
Queen Bee (and Workers!) at Narrows Botanical Garden,770,"food,Environment"
Turtle sanctuary in Narrows Botanical Gardens,780,"Neighbors working together,Environment"
Green is Best Recycling and Art Program,347,"Schools,Environment"
Brooklyn College Takes on Urban Composting!,977,Environment
The Brooklyn Student Credit Union,7690,"Social Justice,Sharing"
Composting in North Brooklyn,629,"Social Justice,Environment"
Winter Composting in North Brooklyn,783,"food,Public Health,Placemaking,Social Justice,Environment"
Wallabout Channel Community Rowing--winter boat building project,1298,"Public Health,Social Justice,Environment"
DontFlushMe,1331,"Public Health,Environment,Citizen Science"
Southside Community Garden Patio Project,1722,"food,Placemaking,Social Justice,Neighbors working together,Environment"
The New New York Block Party,1734,"Placemaking,Social Justice,Neighbors working together,Environment"
Human Impacts Home,5543,Environment
East Williamsburg Youth Green Market,8401,"food,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Espiritu Tierra Community Garden water harvesting/rain garden,8748,"food,Placemaking,Neighbors working together,Environment"
El Puente Bike Club Travels to the Youth Bike Summit,18502,"Safer streets,Social Justice,Neighbors working together,Environment"
Youth Tillers build picnic tables and benches at Abib Newborn Community Garden,784,"food,Social Justice,Environment"
Urban Gardening at Services for the UnderServed,2205,"food,Social Justice,Environment"
Brownsville Student Farm,5723,"food,Public Health,Social Justice,Schools,Environment"
Let's Get the Arts!,15117,"Social Justice,Schools,Environment"
The Hegeman Community Garden,27395,"food,Public Health,Social Justice,Schools"
Cooking the New $1 Menu: Straight from the Farm,294,"food,Public Health,Placemaking,Social Justice,Schools,Environment"
Brooklyn Permaculture Edible Garden,2101,"food,Neighbors working together,Environment"
Eagle Scout Environmental Awareness Fair,683,"food,Safer streets,Public Health,Public Art,Placemaking,Social Justice,Neighbors working together,Schools,Environment,Citizen Science"
A Small Green Patch :: FEEDback Farms,237,"food,Public Art,Placemaking,Neighbors working together,Sharing,Environment"
P.S. 107 Sunshine Garden,621,"food,Schools,Environment"
Compost-o-rama,625,"Social Justice,Environment"
Prospect Park Lake Cleanup,766,"Social Justice,Neighbors working together,Environment"
Solar Arbor at 6/15 Green,775,"food,Placemaking,Environment"
"The Double D Drop - Saturday, Oct 23",779,"Public Health,Placemaking,Social Justice,Environment"
Beneficial Mud Balls for the Gowanus,3245,"Social Justice,Environment"
Heritage Compost Project,3331,Environment
What's sprouting up at MS 88,3340,"food,Social Justice,Schools,Environment"
Floating Gardens,3343,"Public Art,Social Justice,Environment,Citizen Science"
YH Arts Education Scholarship and Professional Stipend,5734,"Public Art,Social Justice,Schools"
BUGS Garden Starter!,10590,"food,Public Health,Social Justice,Schools,Environment"
2014 YH Arts Education Scholarship and Professional Stipend,11338,"Public Art,Social Justice,Schools"
Gowanus Low Altitude Mapping (GLAM),11930,"Neighbors working together,Environment,Citizen Science"
Stormwater Garden Modules for Education,13822,"Schools,Environment"
Water BUGS!,13850,"Social Justice,Schools,Environment"
Gowanus Curbside Rain Garden,13862,Environment
JoatU: Grass to Gardens,14396,"food,Public Health,Placemaking,Neighbors working together,Sharing,Environment"
The Phoenix Bus,14661,"Public Health,Environment"
Fixers Collective,14749,"Neighbors working together,Sharing,Environment"
Fix this Public Space! 4th Ave/9th St Transit Hub,15849,"Safer streets,Public Art,Placemaking,TU,Neighbors working together,Environment"
BUGS Compost Comprehension & Contest!,16833,"food,Public Health,Schools,Environment"
Vacant Lot 2 Garden,17154,Environment
A Truck for the Trees!,20601,"Public Health,Environment"
Chicken Apprenticeship Workshops,1229,"food,Social Justice,Neighbors working together,Sharing,Environment"
Urban Farm Training Program,3569,"food,Public Health,Social Justice,Environment"
"One Kin Farm, Bed-Stuy, a partnership with 596 acres",5192,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
The Fire Escape Club,8052,Placemaking
Feed the Farm Share,11915,"food,Social Justice,Neighbors working together,Environment"
Help us hold Undoing Racism & Oppression Workshops!,13546,"food,Social Justice,Environment"
Walt L. Shamal Community Garden FarmerŠ—Ès Market,#N/A,"food,Safer streets,TU,Sharing,Environment,Citizen Science"
Civic Art Lab,23489,"Public Art,Placemaking,Neighbors working together,Schools,Environment"
Going green on Greene Ave.,23555,"food,Placemaking,Neighbors working together,Environment"
Educating faith communities about food justice at the Brooklyn Food Conference,2763,"food,Social Justice,Schools"
VertiCulture,3345,"food,Public Health,Social Justice,Environment"
2012 Brooklyn Food Conference,3426,"food,Social Justice,Schools,Environment"
A Small Green Patch - Community space and garden,5531,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
A Small Green Patch - Donation Drive 2013,8177,"food,Placemaking,Neighbors working together,Environment"
Greening UpSlope Gowanus: reducing Stormwater Run-off,13832,"Neighbors working together,Environment"
The New Face of Dancewave,18896,"Schools,Environment"
Prospect Farm: Compost Collection Bins,1244,"food,Public Health,TU,Social Justice,Neighbors working together,Environment"
Fernando Valencia Hair With Purpose,#N/A,Social Justice
Gardening with Tiny Tots Summer Program,301,"food,Public Health,Public Art,Social Justice,Schools,Environment"
Bed-Stuy Community Farm Market Greenhouse,286,"food,Public Health,Social Justice,Neighbors working together,Environment"
596 Acres of Vacant Public Land,1303,"food,Placemaking,Neighbors working together,Environment"
462 Halsey Street Community Garden,1868,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Xquizit Greens at 143 Stockholm,2294,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Solar Powered Eco-Shed,3464,"Schools,Environment"
Patchen Community Square,5218,"Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
"Green Youth Empowerment Initiatives in Bushwick, Brooklyn",5487,"Social Justice,Environment"
Compost and Rain Catchment Systems,8429,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Bushwick Campus FarmŠ—Ès Paid Youth Internship Program,#N/A,"food,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
GIFT Garden Project Grows More,302,"food,Public Health,Public Art,Social Justice,Neighbors working together,Environment"
Java St Garden Collaborative PHASE 1,2123,"food,Placemaking,TU,Social Justice,Neighbors working together,Environment"
The McGolrick Park Schools Alliance,2295,"Social Justice,Neighbors working together,Schools,Environment"
The Newtown Creek Armada,3247,"Public Art,Social Justice,Environment"
Java St Garden Collaborative PHASE II,5709,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
61 Franklin Street Garden,8467,"food,Placemaking,Neighbors working together,Environment"
Java St Garden Collaborative Phase III,11933,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
"P.S. 31 Schoolyard Learning Garden: A Place to Grow, Be and Do",18949,"food,Neighbors working together,Schools,Environment"
Rays Of Hope,662,"Social Justice,Environment"
"Young Explorers, 2016!!!",#N/A,"Public Health,Neighbors working together,Environment"
It's My Estuary Day,27525,"Placemaking,Schools,Environment,Citizen Science"
Flowers For Flatbush,5108,"Placemaking,Social Justice,Environment"
Hi-viz public bike counter,12158,Safer streets
Spring Comes To the Flatbush Trees,13970,"Public Art,Placemaking,Neighbors working together,Environment"
Parkside Plaza - Spring Fundraiser,23530,"Placemaking,Environment"
The Parkside Plaza Annual Fundraiser,27262,
Sustainable Flatbush Church Avenue Communal Garden Compost Project,778,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Sustainable Flatbush Church Avenue Communal Garden,777,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Keep Our CSA Winter Share Affordable for ALL!,1861,"food,Public Health,Social Justice,Environment"
Help Our CSA Fund the Summer 2012 Demand for Affordable Fresh Produce,3346,"food,Social Justice,Neighbors working together"
Birds Chirping Rather Than Gunshots,3454,"Public Health,Neighbors working together,Environment"
Sustainable Flatbush Healing Herb Garden,8115,"food,Placemaking,Social Justice,Neighbors working together,Environment"
Parkside Plaza,15612,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
Our Neck Of The Woods,715,"Social Justice,Environment"
Compost for Brooklyn,623,Environment
Avenue P Improvement Project,1776,"Placemaking,Social Justice,Environment"
Compost Garden Community Signage and Brochures,2352,"food,Neighbors working together,Environment"
Urban Meadow Compost Project,644,"Neighbors working together,Environment"
Farm City,632,"food,Public Health,Public Art,Placemaking,Social Justice,Environment"
Living City Brooklyn Gowanus,2051,"Safer streets,Placemaking,Social Justice,Environment"
Recycling at P.S. 32,10558,"Schools,Environment"
"HISTORY ALIVE NYC!- The Spectacular 40 feet 26th USCT Diorama- ""The Untold Epic Story"" COMMUNITY TOURS",#N/A,"Social Justice,Environment"
Green Apple - Love Our Trees Day,5746,"Schools,Environment"
More Green For Less Green,619,Environment
Urban Workshop,645,"Social Justice,Environment"
Spring Cleaning & Planting Week,637,"Placemaking,Environment"
Cold Frames for the Phoenix Community Garden,622,"food,Social Justice,Environment"
462 Halsey Community Garden Greenhouse and Chicken Coop,2091,"food,Public Health,Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Revamp and rebuild!,7912,"food,Public Art,Placemaking,Neighbors working together,Environment"
462 Halsey Community Garden,13290,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Plumb Beach Earth Day cleanup,3279,"Social Justice,Environment"
"Federico Garcia Lorca ""Sleepless City"" Mural Project",5154,"Public Art,Placemaking,Social Justice"
BKROT: Home Compost Collection and Youth Employment,9138,"food,Placemaking,Social Justice,Neighbors working together,Environment"
RBSCC Project Ex.I.T.O Grows,19900,"food,Public Health,Schools,Environment"
Native Plant Area,1356,"food,Placemaking,Environment"
Flip The Table Youth Food Council,1830,"food,Public Health,Social Justice,Sharing,Environment"
Big Green Theater,7980,"Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
PS 705 PTA Fall Appeal,10026,"Social Justice,Schools"
A yard for the yard birds,14797,"food,Public Health,Social Justice,Neighbors working together,Environment"
"Shade Structure as Public Art, Installation for Pedestrian Plaza",19895,"Safer streets,Placemaking,Environment"
Shore Road Community Compost Collection Site,7993,"Safer streets,Social Justice,Neighbors working together,Environment"
PS 705/Exceed Campus Edible Teaching Garden,13405,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Schools,Environment"
Greening the Newkirk Avenue Corridor,3229,"Placemaking,Social Justice,Neighbors working together,Environment"
Brooklyn Compost Map,289,"Social Justice,Environment"
PLANT - GROW - GIVE,3496,"food,Social Justice,Environment"
Eating Healthy in Bed-Stuy,297,"food,Public Health,Social Justice,Neighbors working together,Sharing,Environment"
Jazzaponics!,5701,"Public Art,Placemaking,Social Justice"
Pop-Up Protected Bike Lane Demonstration Kit,18720,"Safer streets,Placemaking,Environment"
City Share Club,9588,"Social Justice,Sharing"
Bici Familia Carpinteria: Building A Green and Healthy Community,19104,"Safer streets,Schools,Environment"
Falling Spring Elementary Garden,18945,"food,Schools,Environment"
Chicago Demonstration Gardens,18914,"Placemaking,Environment"
Home Sharing for Happier Living,18921,"Neighbors working together,Sharing,Environment"
Low-Flow Water Fixtures at Misericordia,7385,"Public Health,Social Justice,Neighbors working together,Environment"
We Keep you Rollin',19116,"Safer streets,Neighbors working together,Environment"
Living Laboratory Project in Chula Vista Community Garden,9596,"food,Placemaking,Social Justice,Neighbors working together,Sharing,Environment"
Butterworth Discovery Park,14385,"Public Health,Neighbors working together,Environment"
Framing at The Art Palace,19731,"Public Art,Environment"
ReClaiming Home,18705,"Neighbors working together,Environment"
Stockyards Connections Community Center,26109,"Placemaking,Neighbors working together,Sharing"
Sun Powered Jobs,20101,"Placemaking,Social Justice,Environment"
PADS IN CLEVELAND,20121,"Public Health,Social Justice,Environment"
PushNation Inc.,17276,"Social Justice,Neighbors working together,Environment"
E.112 Street Family Garden,19506,"food,Neighbors working together,Environment"
Quincy Healing Gardens,19696,"Public Health,Environment"
Connect2Lead,19854,"Social Justice,Environment"
Swing Camp for Kids!,19471,"Neighbors working together,Schools,Environment"
"Achievement Through the Arts presents ""The Bridge Project""",20091,"Schools,Environment"
Station Hope 2015,18618,"Public Art,Neighbors working together,Schools,Environment"
Cleveland Action Legal and Jail Support,27674,Social Justice
Roots Of Success Localization & Business Planning,20092,"Social Justice,Environment"
GardenWalk Cleveland,5738,"Social Justice,Environment"
Fund a Community Organizer for Cleveland Heights,17515,"Social Justice,Neighbors working together,Environment"
Bike Repair Miami,13584,"Safer streets,Environment"
LeTS Roll!,18600,"Safer streets,Neighbors working together,Environment"
Bee for Justice,20240,"food,Social Justice,Environment"
"We ""Woolly "" Need A Garden",8039,"food,Placemaking,Social Justice,Schools,Environment"
The Flood Way,2319,Environment
Delray Beach Children's Garden,23466,"food,Placemaking,Neighbors working together,Schools,Environment"
Delray Beach Children's Garden: Phase II,27174,"food,Public Health,Placemaking,Neighbors working together,Schools,Environment"
Arapahoe Street Protected Bike Lane,15920,"Safer streets,Environment"
Great Paths: The Boulevard at Jefferson Park,15866,"Safer streets,Public Health,Placemaking,TU,Social Justice,Environment"
PLAY Denver,15915,"Safer streets,Public Art,Placemaking,Environment"
Engineering Trash to Treasure: Teaching youth how to be green,5716,Environment
Student Recycled Art Gallery - Create and Learn!,5685,"Public Art,Schools,Environment"
Fiesta Place Garden,14358,"food,Public Health,Public Art,Placemaking,Environment"
OASIS on Ballou,26584,
goMarket,7656,
Literary Garden,5774,"food,Public Health,Social Justice,Schools,Environment"
#NAME?,#N/A,"Social Justice,Neighbors working together,Schools,Environment"
Help! The roof is leaking...,27566,"Placemaking,Social Justice,Neighbors working together"
The Giving Garden,14378,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
E. 200th Street Stroll,19561,"Neighbors working together,Environment"
The Human Powered Mobile School,5270,"Safer streets,Schools,Environment"
Culinary Kids Farm Rockaway Project,295,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Shore Soup Project,7588,"food,Safer streets,Public Health,Social Justice,Neighbors working together"
Going Green in Queens 2012,346,"Social Justice,Environment"
Going Green in Queens 2011,638,"food,Environment"
"Composting "" College""",2243,Environment
Cleanup of Fountains of the Planets in Flushing Meadows,2349,"Placemaking,Neighbors working together"
Language in the Community,5403,"Social Justice,Environment"
"Going Green in Queens 2013-March 23, 2013",5714,Environment
Cleanup of the Queens Blvd Tree Pits,729,"Placemaking,Environment"
Our Lady of Mercy School Garden's Welcome Center,5378,"Placemaking,Social Justice,Schools,Environment"
The Continental Avenue Tree Guards,12392,Environment
Eco Cool Tools,27027,"Public Health,Schools,Environment,Citizen Science"
Summit County Seed Library,9587,"food,Placemaking,Neighbors working together,Sharing,Environment"
Pulling for Pollinators!,14552,Environment
Baxter Community Center Garden Lending Library,9605,"Social Justice,Sharing"
Greenville Tool Library,13074,"Social Justice,Sharing"
Youth Leader Training in Texas,18607,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment,Citizen Science"
Summer of Solutions Hartford,5385,"food,Public Health,Environment"
Inside Out Project: Northeast Hartford,8600,"Public Art,Placemaking,Social Justice,Neighbors working together"
Green Economy Leadership Training,5481,"Social Justice,Environment"
Soulardarity,14383,"Neighbors working together,Sharing,Environment"
Paddle Out With Tropical Audubon Society,7881,"Public Health,Neighbors working together,Environment,Citizen Science"
ClimateChangeNationalForum.org Š—– a weapon of mass education,#N/A,Environment
Urban Patch - Park Garden,5036,"food,Public Health,Placemaking,Social Justice,Neighbors working together,Environment"
Urban Patch - Stone Soup Kitchen,5576,"food,Neighbors working together"
Fall Creek Gardens Sunflower Mural,7367,"Public Art,Placemaking,Social Justice"
Indy Redbud Project,17874,"Public Health,Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Learn to Ride a Mountain Bike Trail in Highbridge Park,2139,"Public Health,Social Justice,Environment"
Adopt-A-Bin For Our School-Wide Recycling Initiative!,#N/A,"Schools,Environment"
Jackson Heights 78th Street Playstreet,689,"Safer streets,Public Health,Placemaking,TU,Social Justice,Neighbors working together,Schools,Environment"
BQE Garden,1703,"food,Safer streets,Placemaking,Social Justice,Environment"
Jackson Heights 78th Street Play Street 2012,3533,"Safer streets,Public Health,Placemaking,TU,Social Justice,Neighbors working together,Environment"
Cornucopia Society 911 Only Cell Phone Recycling Program,630,"Social Justice,Environment"
Veggies to Jamaica!,3288,"food,Public Health,Social Justice,Schools,Environment"
Save the Land and Create a Community Garden,5563,"food,Social Justice,Environment"
Chain Reaction,2219,"Safer streets,Public Health,Social Justice,Environment"
Jersey City Bike Racks,13427,"Safer streets,Neighbors working together,Sharing"
Alleviating Storm Water Runoff at PS5,13439,"Schools,Environment"
SJC's Rain Gardens +ART Campaign,10411,"Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Amphibian Education and Art Expression,14023,"Public Art,Schools,Environment"
Down to Earth Community Garden,12210,"food,Public Health,Placemaking,Social Justice,Environment"
Queens 9/11 Daffodil Project-Bulb Distribution,234,"Safer streets,Public Art,Placemaking,Social Justice,Neighbors working together,Environment"
Daffodil Project Distribution-Fall 2012,5717,"Placemaking,Environment"
Plenitud Rainwater Harvesting System,17122,"food,Public Health,Environment"
LIC Roots Garden Membership Drive Challenge,3398,"food,Public Health,Social Justice,Environment"
Lithonia Ride to the Future,15868,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
Out in Arkansas: A new LGBTQ publication,21146,"Social Justice,Environment"
Beyond rehoming: Investigating Arkansas's child welfare system,19932,"Social Justice,Environment"
Holiday Tighten-Up Gift Bags,10640,"Social Justice,Neighbors working together"
Love Your Neighbor LOVE BAGS,12138,"Social Justice,Neighbors working together,Environment"
Markus Manley Dream Fund,19757,"Neighbors working together,Sharing,Environment"
O2 Compost @ Brookyn Grange,3348,"food,Public Health,Social Justice,Environment"
Composting the Five Borough Bike Ride,739,"Safer streets,Social Justice,Environment"
Cookbook Fundraiser for Astoria CSA,#N/A,"food,Social Justice,Environment"
Food Extravaganza Demonstrations,300,"food,Environment"
Farm Visit,299,"food,Placemaking,Environment"
Composting Class,626,"Social Justice,Environment"
Canning Workshop,616,"food,Social Justice"
Nutritional Detectives,714,"food,Environment"
Naturally Made Cleaning Supplies,709,"Schools,Environment"
IS 204 Urban Wildlife Habitat and Learning Garden,8044,"food,Placemaking,Neighbors working together,Environment"
Ride On! Bike Co-Op Fundraising Campaign,18654,"Safer streets,Neighbors working together,Sharing,Environment"
Adventures for Kids on the LA River,3249,"Social Justice,Environment"
The Roots and Wings Program,7900,"Placemaking,Schools"
"Walk This Way, LA",15863,"Safer streets,Public Health,TU,Environment"
Louisville TransporStation,#N/A,"Safer streets,Public Art,Placemaking,Neighbors working together,Environment"
"Gardening in the Highlands of Lynn, Mass.",5462,"food,Public Health,Social Justice,Environment"
Vote Everywhere,18196,"Social Justice,Neighbors working together,Schools,Environment"
Mammoth Lakes Community Garden,7885,"food,Placemaking,Neighbors working together,Environment"
Secure Bicycle Parking Space,18648,"Safer streets,Placemaking,Environment"
Muckraking the Mayflower Oil Spill,8907,"Public Health,Social Justice,Neighbors working together,Citizen Science"
Library District Gateway Garden,23499,"Sharing,Environment"
Reservoir Retreat,23684,"Neighbors working together,Environment"
Winthrop Street Community Garden,23897,"food,Placemaking,Neighbors working together,Environment"
Memphis Civic Solar,11763,Environment
Mid-South Greenways App,12050,"Safer streets,Public Health,Environment"
Hospitality HUB iPad-powered Jobs Program,12637,"Social Justice,Neighbors working together,Sharing"
Nettleton Community Orchard,13415,"food,Public Health,Placemaking,Neighbors working together,Environment"
2015 Leadership Memphis Expanding Horizons College & Career Tours,18363,"Social Justice,Neighbors working together,Schools,Environment"
MMS Wolf River Harbor Boardwalk - PREBUILD,18530,"Placemaking,Schools,Environment"
Pinch Pocket Park,19918,"Placemaking,Neighbors working together,Environment"
Criminal Justice Summer Camp 2015,20208,"Schools,Environment"
MMS Boardwalk FULL-BUILD & MATERIALS,20207,"Placemaking,Schools,Environment"
Cargo Memphis Bike Sharing,20209,"Safer streets,Sharing,Environment"
Sharing Library for the Nettleton Community Orchard,27354,Sharing
Idlewild Elementary Chess Club Fundraiser,13040,Schools
Cooper/Higbee Underpass Mural,13121,"Public Art,Placemaking,TU,Neighbors working together"
Scoop Memphis,13309,"Schools,Environment"
Overton Park Shuttle,13358,"Neighbors working together,Environment"
Activate Belvedere Triangle Park!,13389,"TU,Neighbors working together,Environment"
Women's Theatre Festival of Memphis,13852,"Public Art,Social Justice,Environment"
IDLEWILD Film Club,14958,"Schools,Environment"
Madison@Belvedere Bus Stop,15870,"Safer streets,Placemaking,Social Justice,Neighbors working together,Environment"
Central Ave Underpass Mural,16835,"Public Art,Placemaking,TU,Neighbors working together,Environment"
Operation Crosstown,17325,"Public Art,Placemaking,Environment"
iGarden @ White Station Middle School,18932,"food,Public Health,Schools,Environment"
Solar Lights for MSSA,18948,"Schools,Environment"
Stripe Memphis Basketball Courts,20096,"Placemaking,Social Justice,Neighbors working together,Environment"
Time Is Of the Essence,20171,"Safer streets,Public Health,Environment"
New Trail Markers for Overton Park's Old Forest,20174,"Placemaking,Neighbors working together,Sharing,Environment"
